Title,Summary,Enrollment,Stars,Rating,Link
"
The Complete SQL Bootcamp 2020: Go from Zero to Hero
","
Become an expert at SQL!
","
301,243 students
",4.7," (79,919 ratings)",https://www.udemy.com/course/the-complete-sql-bootcamp/
"
Tableau 2020 A-Z: Hands-On Tableau Training for Data Science
","
Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!
","
211,674 students
",4.6," (55,582 ratings)",https://www.udemy.com/course/tableau10/
"
PMP Exam Prep Seminar - PMBOK Guide 6
","
PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course
","
157,957 students
",4.6," (53,858 ratings)",https://www.udemy.com/course/pmp-pmbok6-35-pdus/
"
The Complete Financial Analyst Course 2020
","
Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!
","
249,097 students
",4.5," (47,415 ratings)",https://www.udemy.com/course/the-complete-financial-analyst-course/
"
An Entire MBA in 1 Course:Award Winning Business School Prof
","
** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO
","
376,913 students
",4.5," (42,101 ratings)",https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/
"
Microsoft Power BI - A Complete Introduction [2020 EDITION]
","
Learn how to use Microsoft's Power BI Tools, including Power BI Desktop, Power BI Pro (Service) and PowerBI Developer
","
126,880 students
",4.6," (38,771 ratings)",https://www.udemy.com/course/powerbi-complete-introduction/
"
Agile Crash Course: Agile Project Management; Agile Delivery
","
Get Agile Certified & Learn about the key and most important concepts and tools of Agile Project Management (Scrum)
","
98,700 students
",4.3," (31,276 ratings)",https://www.udemy.com/course/agile-crash-course/
"
Beginner to Pro in Excel: Financial Modeling and Valuation
","
Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!
","
128,940 students
",4.5," (29,111 ratings)",https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
"
Become a Product Manager | Learn the Skills & Get the Job
","
The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more
","
114,114 students
",4.5," (27,879 ratings)",https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/
"
The Business Intelligence Analyst Course 2020
","
The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included
","
118,019 students
",4.5," (24,582 ratings)",https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/
"
Microsoft Power BI - Up & Running With Power BI Desktop
","
Transform, analyze & visualize data with Microsoft Power BI Desktop: hands-on demos, projects & 1-on-1 Power BI support
","
89,006 students
",4.6," (24,388 ratings)",https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
"
Business Analysis Fundamentals
","
Set yourself up for success, learn the key business analysis concepts to thrive in your Business Analyst career
","
83,310 students
",4.5," (23,743 ratings)",https://www.udemy.com/course/business-analysis-ba/
"
Leadership: Practical Leadership Skills
","
Master leadership skills and leadership techniques with this highly practical advice and training
","
69,860 students
",4.6," (23,283 ratings)",https://www.udemy.com/course/practical-leadership/
"
The Complete Foundation Stock Trading Course
","
Learn To Trade The Stock Market by A Trading Firm CEO. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++
","
79,089 students
",4.5," (22,204 ratings)",https://www.udemy.com/course/foundation-course/
"
SQL - MySQL for Data Analytics and Business Intelligence
","
SQL that will get you hired – SQL for Business Analysis, Marketing, and Data Management
","
80,470 students
",4.6," (21,951 ratings)",https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/
"
The Complete Financial Analyst Training & Investing Course
","
Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital
","
183,645 students
",4.5," (21,807 ratings)",https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/
"
The Ultimate Hands-On Hadoop - Tame your Big Data!
","
Hadoop tutorial with MapReduce, HDFS, Spark, Flink, Hive, HBase, MongoDB, Cassandra, Kafka + more! Over 25 technologies.
","
116,200 students
",4.6," (21,636 ratings)",https://www.udemy.com/course/the-ultimate-hands-on-hadoop-tame-your-big-data/
"
The Complete Investment Banking Course 2020
","
The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything is included!
","
89,441 students
",4.5," (20,326 ratings)",https://www.udemy.com/course/the-complete-investment-banking-course-2016/
"
How to Start an Amazon FBA Store on a Tight Budget
","
The complete Amazon selling blueprint. Start a brand new career today, even if you are on a very small start-up budget.
","
73,088 students
",4.6," (19,524 ratings)",https://www.udemy.com/course/sell-on-amazon-as-small-start-up/
"
Deep Learning Prerequisites: The Numpy Stack in Python (V2+)
","
The Numpy, Scipy, Pandas, and Matplotlib stack: prep for deep learning, machine learning, and artificial intelligence
","
239,470 students
",4.5," (18,388 ratings)",https://www.udemy.com/course/deep-learning-prerequisites-the-numpy-stack-in-python/
"
Python for Finance: Investment Fundamentals & Data Analytics
","
Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training
","
84,195 students
",4.5," (17,929 ratings)",https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/
"
Introduction to Finance, Accounting, Modeling and Valuation
","
Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC
","
142,904 students
",4.5," (17,549 ratings)",https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/
"
Forex Trading A-Z™ - With LIVE Examples of Forex Trading
","
Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4
","
67,924 students
",4.6," (17,220 ratings)",https://www.udemy.com/course/forex-trading/
"
Write Better Emails: Tactics for Smarter Team Communication
","
How to improve your email writing skills to save time & improve communication with your team; easy business writing tips
","
51,707 students
",4.4," (16,494 ratings)",https://www.udemy.com/course/write-better-emails/
"
Beginning Project Management: Project Management Level One
","
Project Management: Growing a Successful Career as a Project Manager
","
49,489 students
",4.5," (15,139 ratings)",https://www.udemy.com/course/beginning-project-management-project-management-level-one/
"
The Complete Shopify Aliexpress Dropship course
","
In 2020, secure your financial future, by building a highly profitable Shopify dropshipping business from home
","
74,795 students
",4.7," (14,215 ratings)",https://www.udemy.com/course/the-complete-shopify-aliexpress-dropship-course/
"
Writing With Flair: How To Become An Exceptional Writer
","
Ex-Wall Street Journal Editor Teaches How To Write With Confidence, Style & Impact
","
103,488 students
",4.5," (12,679 ratings)",https://www.udemy.com/course/writing-with-flair-how-to-become-an-exceptional-writer/
"
Agile Fundamentals: Including Scrum and Kanban - 2020
","
Master Agile principles, values, approaches, & mindset to help organizations make changes faster and with less expense
","
51,744 students
",4.4," (12,377 ratings)",https://www.udemy.com/course/agile-fundamentals-scrum-kanban-scrumban/
"
SQL for Data Analysis: Weekender Crash Course for Beginners
","
Using MySQL but applicable to Oracle SQL, Microsoft SQL Server, and PostgreSQL. Taught by a Data Scientist and PM.
","
59,629 students
",4.3," (11,820 ratings)",https://www.udemy.com/course/sql-for-newbs/
"
Sales Training: Practical Sales Techniques
","
Sales Hacking: Essential sales skills, sales strategies and sales techniques to sell just about anything!
","
39,333 students
",4.6," (11,805 ratings)",https://www.udemy.com/course/master-successful-selling/
"
Ninja Writing: The Four Levels Of Writing Mastery
","
Turn Your Business Writing, Blogs, Books & Essays Into Masterpieces
","
85,844 students
",4.4," (11,167 ratings)",https://www.udemy.com/course/ninja-writing-the-four-levels-of-writing-mastery/
"
Tableau 20 Advanced Training: Master Tableau in Data Science
","
Master Tableau 20 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!
","
63,752 students
",4.6," (11,121 ratings)",https://www.udemy.com/course/tableau10-advanced/
"
Conscious Listening
","
Transform your confidence and communication by becoming somebody that people love speaking to.
","
28,408 students
",4.5," (11,011 ratings)",https://www.udemy.com/course/conscious-listening/
"
Email Etiquette: Write More Effective Emails At Work
","
How to write emails that get results. How to write emails that build better working relationships.
","
34,781 students
",4.4," (10,908 ratings)",https://www.udemy.com/course/business-emails/
"
Tableau for Beginners: Get CA Certified, Grow Your Career
","
Jump into data visualization with hands-on exercises and pass the Certified Associate exam.
","
40,646 students
",4.5," (10,890 ratings)",https://www.udemy.com/course/tableau-accelerate-your-career-and-get-certified/
"
The Complete Presentation and Public Speaking/Speech Course
","
From page to stage; learn everything you need to know about giving a great speech for business & personal presentations.
","
159,739 students
",4.5," (10,441 ratings)",https://www.udemy.com/course/the-complete-presentation-and-public-speaking-speech-course/
"
CAPM Exam Prep Seminar - PMBOK Guide, Sixth Edition
","
Pass the CAPM and Earn 25 Contact Hours to Qualify for the CAPM Exam
","
29,699 students
",4.6," (10,329 ratings)",https://www.udemy.com/course/capm-pmbok6/
"
Robotic Process Automation - RPA Overview
","
Learn Robotic Process Automation to Unleash a Modern RPA Career
","
29,599 students
",4.4," (10,260 ratings)",https://www.udemy.com/course/robotic-process-automation/
"
Emotional Intelligence at Work: Learn from Your Emotions
","
Master EQ to identify emotions in yourself and others, manage your emotions, and improve your relationships at work.
","
21,966 students
",4.5," (10,148 ratings)",https://www.udemy.com/course/emotional-intelligence-at-work-learn-from-your-emotions/
"
Power BI A-Z: Hands-On Power BI Training For Data Science!
","
Learn Microsoft Power BI for Data Science and Data Analytics. Build visualizations and BI reports with Power BI Desktop
","
73,250 students
",4.4," (9,992 ratings)",https://www.udemy.com/course/mspowerbi/
"
Powerful speaking
","
Learn how to speak so people listen from a 5-time TED speaker.
","
35,043 students
",4.5," (9,786 ratings)",https://www.udemy.com/course/powerful-speaking/
"
The Complete Communication Skills Master Class for Life
","
Communication Skills for Persuasion, Assertiveness and all Business Communication Needs
","
63,678 students
",4.3," (9,445 ratings)",https://www.udemy.com/course/the-complete-communication-skills-master-class-for-life/
"
eBay Drop Shipping Guide with No Inventory - Work From Home
","
Learn exactly how to work from home purely selling and drop shipping on eBay. No up front inventory! Basic to Advanced!
","
39,899 students
",4.4," (9,208 ratings)",https://www.udemy.com/course/ebay-drop-shipping-guide-with-no-inventory-work-from-home/
"
Accounting in 60 Minutes - A Brief Introduction
","
Learn the very basics of accounting in just about an hour.
","
80,231 students
",4.5," (9,206 ratings)",https://www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/
"
Blockchain A-Z™: Learn How To Build Your First Blockchain
","
Harness the power of the most disruptive technology since the internet through real life examples! Master Blockchain Now
","
47,932 students
",4.6," (9,176 ratings)",https://www.udemy.com/course/build-your-blockchain-az/
"
Security Awareness Training
","
A basic guide to staying safe online and to introduce new knowledge to people about internet security and privacy.
","
16,843 students
",4.6," (9,058 ratings)",https://www.udemy.com/course/security-awareness-training/
"
Six Sigma White Belt
","
Start your Six Sigma journey with the best selling instructor for White, Yellow, Green and Black Belt courses
","
33,189 students
",4.5," (9,061 ratings)",https://www.udemy.com/course/six-sigma-white-belt/
"
Fundamentals of Analyzing Real Estate Investments
","
Learn professional investment analysis techniques for real estate investing in residential and commercial properties
","
64,633 students
",4.4," (8,703 ratings)",https://www.udemy.com/course/real-estate-investment-analysis/
"
Communication Fundamentals: How To Communicate Better
","
Become an Effective Communicator And Learn How to Get Your Message Across By Learning Communication Fundamentals
","
22,285 students
",4.4," (8,545 ratings)",https://www.udemy.com/course/communication-fundamentals-how-to-communicate-better/
"
MBA in a Box: Business Lessons from a CEO
","
A Complete MBA Training: Business Strategy, Management, Marketing, Accounting, Decision Making & Negotiation
","
45,102 students
",4.5," (7,966 ratings)",https://www.udemy.com/course/mba-in-a-box-business-lessons-from-a-ceo/
"
PMP EXAM PREP-Project Management Professional FULL TRAINING
","
PMP Certification-Get 35 PDUs-Project Management Professional-Complete PMP Exam Prep-PMP Math-CAPM-PMBOK 6-Pmp Course
","
40,265 students
",4.4," (7,894 ratings)",https://www.udemy.com/course/pmp-training-for-pmp-certification-pmp-exam/
"
UiPath - Level 1 Robotic Process Automation
","
Learn UiPath the top RPA tool and automate your first process!
","
29,687 students
",4.4," (7,819 ratings)",https://www.udemy.com/course/uipath-robotic-process-automation/
"
The Complete Splunk Beginner Course
","
LEARN SPLUNK from this best-selling course. Become the IT HERO, with real exercises and data sets!
","
34,059 students
",4.5," (7,608 ratings)",https://www.udemy.com/course/splunker/
"
How to Manage & Influence Your Virtual Team
","
Learn step-by-step tips that help you get things done with your virtual team by increasing trust and accountability
","
23,091 students
",4.4," (7,507 ratings)",https://www.udemy.com/course/virtual-teams/
