Title,Summary,Enrollment,Stars,Rating,Link
"
The Ultimate Drawing Course - Beginner to Advanced
","
Learn the #1 most important building block of all art
","
403,865 students
",4.5," (98,984 ratings)",https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/
"
Character Art School: Complete Character Drawing Course
","
Learn How to Draw People and Character Designs Professionally, Drawing for Animation, Comics, Cartoons, Games and More!
","
228,471 students
",4.5," (51,220 ratings)",https://www.udemy.com/course/character-art-school-complete-character-drawing/
"
Complete Blender Creator: Learn 3D Modelling for Beginners
","
Use Blender to Create Beautiful 3D models for Video Games, 3D Printing & More. Beginners Level Course
","
203,790 students
",4.6," (39,959 ratings)",https://www.udemy.com/course/blendertutorial/
"
Design Thinking in 3 Steps
","
Understand your audience, envision a creative solution, and test your prototype
","
63,479 students
",4.4," (28,014 ratings)",https://www.udemy.com/course/designit-design-thinking/
"
Illustrator CC 2020 MasterClass
","
Master Adobe Illustrator CC with this in-depth training for all levels.
","
117,513 students
",4.6," (25,858 ratings)",https://www.udemy.com/course/illustrator-cc-masterclass/
"
User Experience Design Essentials - Adobe XD UI UX Design
","
Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design
","
94,235 students
",4.6," (23,988 ratings)",https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/
"
Ultimate Photoshop Training: From Beginner to Pro
","
Master Photoshop CC 2020 without any previous knowledge with this easy-to-follow course
","
121,883 students
",4.6," (20,629 ratings)",https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/
"
After Effects CC 2020: Complete Course from Novice to Expert
","
Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with hands-on tutorials & 50+ practice projects.
","
106,344 students
",4.6," (20,252 ratings)",https://www.udemy.com/course/after-effects-kinetic-typography/
"
Graphic Design Masterclass - Learn GREAT Design
","
The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design
","
61,002 students
",4.6," (16,282 ratings)",https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
"
Adobe Photoshop CC: Your Complete Beginner to Advanced Class
","
Learn the essential tools of Adobe Photoshop CC to jump right in and design beautiful graphics and photos in Photoshop.
","
470,991 students
",4.6," (16,005 ratings)",https://www.udemy.com/course/adobe-photoshop-course/
"
Wordpress for Beginners - Master Wordpress Quickly
","
In 2020, build a beautiful responsive Wordpress site that looks great on all devices. No experience required.
","
64,732 students
",4.5," (15,045 ratings)",https://www.udemy.com/course/wordpress-for-beginners-course/
"
Adobe Photoshop CC – Essentials Training Course
","
This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.
","
53,888 students
",4.7," (14,453 ratings)",https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/
"
Graphic Design Bootcamp: Photoshop, Illustrator, InDesign
","
Bestselling Beginner Course! Use Photoshop, Illustrator, & InDesign for logo design, web design, poster design, and more
","
86,585 students
",4.5," (13,338 ratings)",https://www.udemy.com/course/graphic-design-for-beginners/
"
The complete AutoCAD 2018-21 course
","
A complete course for learning AutoCAD from scratch to professional level
","
48,556 students
",4.6," (13,295 ratings)",https://www.udemy.com/course/autocad-2018-course/
"
Web Design for Beginners: Real World Coding in HTML & CSS
","
Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass and more!
","
47,169 students
",4.6," (12,888 ratings)",https://www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/
"
Adobe Illustrator CC - Essentials Training Course
","
Learn Adobe Illustrator CC graphic design, logo design, and more with this in-depth, practical, easy-to-follow course!
","
45,570 students
",4.7," (12,250 ratings)",https://www.udemy.com/course/adobe-illustrator-course/
