Title,Summary,Enrollment,Stars,Rating,Link
"
The Complete Financial Analyst Course 2020
","
Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!
","
249,123 students
",4.5," (47,466 ratings)",https://www.udemy.com/course/the-complete-financial-analyst-course/
"
Beginner to Pro in Excel: Financial Modeling and Valuation
","
Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!
","
128,940 students
",4.6," (29,128 ratings)",https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
"
The Complete Foundation Stock Trading Course
","
Learn To Trade The Stock Market by A Trading Firm CEO. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++
","
79,089 students
",4.5," (22,239 ratings)",https://www.udemy.com/course/foundation-course/
"
The Complete Financial Analyst Training & Investing Course
","
Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital
","
183,645 students
",4.5," (21,818 ratings)",https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/
"
Investing In Stocks The Complete Course! (11 Hour)
","
Master Investing in the Stock Market with Stocks, Mutual Funds, ETF, from a Top Instructor & Millionaire Stock Portfolio
","
111,937 students
",4.4," (20,993 ratings)",https://www.udemy.com/course/investing-in-stocks/
"
Blockchain and Bitcoin Fundamentals
","
Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.
","
66,320 students
",4.6," (20,726 ratings)",https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/
"
The Complete Investment Banking Course 2020
","
The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything is included!
","
 89,447 students
",4.5," (20,346 ratings)",https://www.udemy.com/course/the-complete-investment-banking-course-2016/
"
Python for Finance: Investment Fundamentals & Data Analytics
","
Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training
","
84,202 students
",4.5," (17,942 ratings)",https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/
"
Introduction to Finance, Accounting, Modeling and Valuation
","
Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC
","
142,924 students
",4.5," (17,572 ratings)",https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/
"
Forex Trading A-Z™ - With LIVE Examples of Forex Trading
","
Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4
","
67,924 students
",4.6," (17,227 ratings)",https://www.udemy.com/course/forex-trading/
"
Stock Trading Crash Course !
","
Learn from a full time stock trader. Technical Analysis|Chart Patterns|Trading strategies|Swing and intraday trading
","
35,688 students
",4.5," (15,800 ratings)",https://www.udemy.com/course/stock-trading-crash-course/
"
Cryptocurrency Investment Course 2020: Fund your Retirement!
","
Complete A-Z Guide to Bitcoin, Blockchain, Ethereum, Altcoins, ICOs, DeFi & how to invest in them for your retirement!
","
42,214 students
",4.1," (12,136 ratings)",https://www.udemy.com/course/cryptocurrency/
"
Accounting in 60 Minutes - A Brief Introduction
","
Learn the very basics of accounting in just about an hour.
","
80,231 students
",4.5," (9,214 ratings)",https://www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/
"
Technical Analysis MasterClass:Trading By Technical Analysis
","
Stock Market Technical Analysis Secrets for Forex , Stock Trading , Options , Swing Trading & Day Trading + ASSIGNMENTS
","
41,213 students
",4.4," (8,770 ratings)",https://www.udemy.com/course/technical_analysis/
"
Accounting & Financial Statement Analysis: Complete Training
","
Accounting & Financial Ratio Analysis made easy. Learn important accounting skills that will get your foot in the door!
","
38,469 students
",4.6," (6,381 ratings)",https://www.udemy.com/course/accounting-fsa-a-solid-foundation-for-a-career-in-finance/
"
Advanced Stock Trading Course + Strategies
","
Learn To Trade The Stock Market by A Trading Firm CEO. For: Stocks, Day Trading, Swing Trading and Financial Trading
","
37,703 students
",4.6," (6,103 ratings)",https://www.udemy.com/course/advanced-course-plus-strategies/
